標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
富蘭克林坦伯頓全球投資系列-金磚國家基金美元A (acc)股,FLZA0-TFBH,美元,股票型,2005/10/25,RR5,無,2026/09/01,28.47,0.39,1.28,11.52,62.04,184.7,16.27,0.19,1.17,2026/07/31,442.00百萬,4.5,
凱基台商天下基金,ACKG11-TFBI,台幣,跨國投資股票型區域型,2007/05/08,RR5,無,2026/09/01,60.61,-12.43,25.77,114.47,194.37,506.1,41.54,0.59,1.58,2026/07/31,5.3795億,5,
普徠仕（盧森堡）系列基金－普徠仕亞洲(日本除外)股票基金A級別(美元)(原名稱：普徠仕（盧森堡）系列基金－普徠仕亞洲(除日本除外)股票社會責任基金A級別(美元)),MAR01-TFBK,美元,股票型,2008/01/28,RR5,無,2026/09/01,25.81,-3.12,12.86,37.36,66.09,158.1,25.24,0.39,1.27,2026/06/30,208.00百萬,2.5,
普徠仕（盧森堡）系列基金－普徠仕全球天然資源股票基金A級別(美元),MAR04-TFBL,美元,股票型,2007/11/05,RR4,無,2026/09/01,14.56,1.89,1.96,28.96,41.22,45.6,15.78,0.47,0.33,2026/06/30,114.00百萬,4,
凱基新興趨勢ETF組合基金,ACKG16-TFBW,台幣,全球組合型其他,2010/08/09,RR4,無,2026/09/01,12.01,-6.1,8,38.36,56.99,20.1,20.69,0.47,1.22,2026/07/31,1.322億,4.5,
貝萊德美國中型企業價值基金A2 美元(原名稱：貝萊德美國特別時機基金 A2 美元),SHZ12-TFCF,美元,股票型,1987/05/13,RR4,無,2026/09/01,473.89,6.08,10.25,17.37,44.29,N/A,9.82,0.45,0.52,2026/06/30,369.00百萬,2.5,
貝萊德歐洲特別時機基金 A2 歐元,SHZF5-TFCG,歐元,股票型,2002/10/14,RR4,無,2026/09/01,64.93,3.03,2.4,6.9,10.03,536.57,13.43,0.14,0.72,2026/06/30,699.00百萬,1,
摩根基金－環球天然資源基金 - JPM 環球天然資源(美元)－A股(累計),JFH30-TFCH,美元,天然資源,2006/09/12,RR4,無,2026/09/01,24.97,8.14,2.67,53.28,86.07,96.61,24.89,0.52,0.78,2026/06/30,"1,260.00百萬",4,
摩根基金－新興市場小型企業基金 - JPM新興市場小型企業(美元)- A股perf(累計),JFZ95-TFCI,美元,股票型,2007/11/15,RR5,無,2026/09/01,24.17,1.9,1.43,14.99,35.79,141.7,15.25,0.26,0.75,2026/06/30,505.00百萬,1,
高盛基金Ⅲ-高盛全球機會股票基金X股美元(原名稱：NN(L)全球機會股票基金X股美元),ANZ88-TFCJ,美元,股票型,2010/08/10,RR3,無,2026/09/01,443.05,-2.18,-0.63,-2.74,12.56,79.35,10.51,-0.1,0.79,2026/06/30,222.00百萬,1,
