標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
瀚亞投資─美國非投資等級債券基金Aadm(澳幣避險月配) - (配現金)(本基金配息來源可能為本金),IOF34-BCAPC002,澳幣,非投資等級債券,2012/06/18,RR3,月配,2026/09/11,6.048,0.7,1.69,3.18,21.36,,1.34,0.41,0.64,-,364百萬,,
原康健人壽標的＿瀚亞投資－美國非投資等級債券基金（現金配息）（澳幣避險）(本基金配息來源可能為本金且主要投資於符合美國Rule 144A規定之私募性質債券),IOF34-CEAB0,澳幣,非投資等級債券,2012/06/18,RR3,月配,2026/09/11,6.048,0.7,1.69,3.18,21.36,,1.34,0.41,0.64,-,364百萬,,
瀚亞投資-美國非投資等級債券基金Aadmc1(澳幣避險穩定月配) - (配現金)(本基金配息來源可能為本金),IOF64-BCAPC005,澳幣,非投資等級債券,2013/12/09,RR3,月配,2026/09/11,5.078,0.7,1.68,3.17,21.34,,1.35,0.41,0.64,-,364百萬,,
貝萊德美元非投資等級債券基金 A3 美元 - (配現金)(基金之配息來源可能為本金),SHZ98-BCUML006,美元,非投資等級債券,2003/09/01,RR3,月配,2026/09/11,5.53,0.5,1.31,3.13,24.59,,1.72,0.31,0.87,-,"2,902百萬",,
貝萊德美元非投資等級債券基金 A3 美元 - (配股數)(基金之配息來源可能為本金),SHZ98-BNUML006,美元,非投資等級債券,2003/09/01,RR3,月配,2026/09/11,5.53,0.5,1.31,3.13,24.59,,1.72,0.31,0.87,-,"2,902百萬",,
東方匯理基金美國非投資等級債券 A 美元 (穩定月配息) - (配現金)(本基金主要投資於符合美國Rule 144A規定之私募性質債券且基金之配息來源可能為本金),PIZN2-BCUPI010,美元,非投資等級債券,2017/06/07,RR3,月配,2026/09/11,27.98,0.15,1.21,3.13,22.54,,1.77,0.31,0.88,-,232百萬,,
法巴美國非投資等級債券基金/月配 (美元) - (配現金)(本基金主要投資於符合美國Rule 144A規定之私募性質債券，基金之配息來源可能為本金),PAZB0-BCUBN002,美元,債券型,2001/04/16,RR3,月配,2026/09/10,52.08,0.8,1.26,3.12,23.79,,1.82,0.3,0.26,-,67百萬,,
東方匯理基金美國非投資等級債券 A 美元 (月配息) - (配現金)(本基金主要投資於符合美國Rule 144A規定之私募性質債券且基金之配息來源可能為本金),PIZ43-BCUPI003,美元,非投資等級債券,2005/08/02,RR3,月配,2026/09/11,42.91,0.15,1.24,3.12,22.52,,1.79,0.3,0.89,-,232百萬,,
東方匯理基金美國非投資等級債券 A 美元 (月配息) - (配股數)(本基金主要投資於符合美國Rule 144A規定之私募性質債券且基金之配息來源可能為本金),PIZ43-BNUPI003,美元,非投資等級債券,2005/08/02,RR3,月配,2026/09/11,42.91,0.15,1.24,3.12,22.52,,1.79,0.3,0.89,-,232百萬,,
富蘭克林坦伯頓全球投資系列-公司債基金美元A (Mdis)股 - (配現金)(本基金主要投資於非投資等級之高風險債券及符合美國Rule 144A規定之私募性質債券且基金之配息來源可能為本金),FLZ41-BCUFT007,美元,非投資等級債券,1996/03/01,RR3,月配,2026/09/11,5.12,0.38,1.16,3.08,24.72,,1.84,0.29,0.95,-,1252百萬,,
